,Name,CVD,SI,Globularity,dnorm,SImean,CVDmean,Area,Volume,EN_diff
1391,ZnCu_mp-987,100.0,100.0,0.9908262145342315,0.037716300276828,0.8495036508711935,-0.5796295521901964,21.0733655453419,8.98275936400678,0.25
1392,PuSb_mp-21263,100.0,100.0,0.989768900279042,-0.1822396090080915,0.8037443320319129,-0.729014668420755,35.39487143168765,19.524530933511997,0.77
1393,CsBr_mp-22906,100.0,100.0,0.987478978535671,0.20027679873239848,0.7971249551177265,-0.860327363560756,50.083920128915,32.736162084062755,2.17
1394,TiH_mp-1060435,100.0,100.0,0.9881967894131479,-0.5124289268788085,0.877482750695855,-0.39783334123222747,13.58268018734572,5.13716127666619,0.66
1395,NdZn_mp-1053,100.0,100.0,0.994639558844281,0.045181429313514,0.8603992663629825,-0.708920111883641,30.6378060432334,15.879390513213401,0.51
1396,SnAs_mp-2182,92.20489977728285,97.10467706013361,0.9512286447799689,-0.2545250298039265,0.669122480549172,-0.8702715120840299,36.7308348737251,19.416378438279246,0.22
1397,CaN_mp-1058549,98.932384341637,100.0,0.9798379493607925,-0.348369826877783,0.7741219104475051,-0.61863482730758,22.081985497964148,9.496557324771345,2.04
1398,NpC_mp-2546,99.69418960244651,100.0,0.9785456213441042,-0.429312709801139,0.7925418018314836,-0.5765543175866321,22.89879138855605,10.292164685420834,1.19
1399,CdSe_mp-2691,79.7403996865204,88.01234326018815,0.9034152763558294,0.168646651645768,0.522202521747649,-0.960373835423198,43.5406359316284,23.1390616784011,0.86
1400,LuSe_mp-414,99.15014164305951,100.0,0.9672902351668207,-0.2870743526463165,0.715045488811423,-0.7608711613098105,31.19761412478105,15.5900379876064,1.28
1401,HoS_mp-1240,100.0,100.0,0.9762302906577314,-0.2993405696659925,0.7527552760874344,-0.6982288520795585,28.4199809776496,13.742509866871501,1.35
1402,MnCr_mp-1221647,100.0,100.0,0.993003751824211,-0.6414879743963116,0.89384242337095,-0.540257848683412,17.968920367773002,7.08733029979234,0.11
1403,ZnN_mp-999473,94.39834024896265,97.5103734439834,0.9629585959016185,-0.24318761101304448,0.7151598433094151,-0.5678612402283305,18.654669201140898,7.165560458939881,1.39
1404,SrMg_mp-1094318,100.0,100.0,0.9898236908440019,0.2022020275586145,0.8519057949841355,-0.803318191091112,43.0211666061206,26.16425855576255,0.36
1405,ThSb_mp-10637,100.0,100.0,0.988899675028316,-0.140111754341807,0.8109496310093129,-0.7762084822552229,37.959550736076196,21.6365807804657,0.75
1406,HoP_mp-744,100.0,100.0,0.9774702252224434,-0.24974620218978802,0.7558023596881656,-0.709677846495517,29.80243873658645,14.793520054789852,0.96
1407,BeCu_mp-2323,100.0,100.0,0.9916416845277056,-0.49296324180015244,0.8902141266209,-0.4565532189168575,15.76570071502945,5.84094304943855,0.33
1408,AgN_mp-1009766,91.73052362707536,94.37869822485206,0.929832379159275,-0.21161690620718798,0.6133507061605504,-0.6817771818069196,25.56307459635255,11.050230187928035,1.11
1409,PuTe_mp-20438,100.0,100.0,0.98846188773837,-0.19220006094627098,0.7966290211173479,-0.742719276931302,36.5186814771574,20.42913638537015,0.82
1410,PuRu_mp-11555,100.0,100.0,0.991144797904998,-0.42872073786632703,0.840315304065794,-0.624799569095332,25.93490409234335,12.27543420466705,0.92
1411,SrSe_mp-2758,95.2328159645233,94.67849223946784,0.9638885259535684,-0.08898288068556351,0.6787157922334749,-0.8542562881284835,39.0389916703571,21.68047996294515,1.6
1412,MnSb_mp-1009213,92.05754577697824,98.61396303901435,0.9171322531658225,-0.15362300241541801,0.639011062218225,-0.8566518189879,40.346762661103355,21.56886040209635,0.5
